# Integration weights for the "1d Gauss, m=10" formula over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
1.003387331498112930e-03 9.751911367792912566e-01 1.289124978829309098e-02 1.191761343241559690e-02
2.143055506454208045e-03 9.260265944099888014e-01 1.224133371286301175e-02 6.173207187714813138e-02
2.873911642444734391e-03 8.417611388235450853e-01 1.112741153338464573e-02 1.471114496430702689e-01
3.090113257372111271e-03 7.292008695293252796e-01 9.639454462218477460e-03 2.611596760084562430e-01
2.818768086977286626e-03 5.974621791681500316e-01 7.897973946063119310e-03 3.946398468857868491e-01
2.201923671769836534e-03 4.572171873813902776e-01 6.044046902949129496e-03 5.367387657156605929e-01
1.446831722864843272e-03 3.198276713492885781e-01 4.227866974046257109e-03 6.759444616766651093e-01
7.592063141364386583e-04 1.964245035388983984e-01 2.596575424202718363e-03 8.009789210368988277e-01
2.806636840486048212e-04 9.700666144126657287e-02 1.282350768586570933e-03 9.017109877901468007e-01
4.997485963517337419e-05 2.963725131430505755e-02 3.917808471813333249e-04 9.699709678385135536e-01
2.249206041484483939e-03 9.214181312289128067e-01 6.666425533867165187e-02 1.191761343241559690e-02
4.803900987225549410e-03 8.749645704405520918e-01 6.330335768229977678e-02 6.173207187714813138e-02
6.442197570132914171e-03 7.953455955695913904e-01 5.754295478733834068e-02 1.471114496430702689e-01
6.926837911114010551e-03 6.889920110546243759e-01 4.984831293691943666e-02 2.611596760084562430e-01
6.318587061794987171e-03 5.645175226132768120e-01 4.084263050093639436e-02 3.946398468857868491e-01
4.935860629252651101e-03 4.320057786354222218e-01 3.125545564891718531e-02 5.367387657156605929e-01
3.243236734133641934e-03 3.021920566497651173e-01 2.186348167356977346e-02 6.759444616766651093e-01
1.701846709524711902e-03 1.855934617864978264e-01 1.342761717660334586e-02 8.009789210368988277e-01
6.291393502496114539e-04 9.165761801032168421e-02 6.631394199531459588e-03 9.017109877901468007e-01
1.120242927982217815e-04 2.800302391075693009e-02 2.026008250729571802e-03 9.699709678385135536e-01
3.297195863259236390e-03 8.296975071346683883e-01 1.583848794329160148e-01 1.191761343241559690e-02
7.042219418961271661e-03 7.878680680588093788e-01 1.503998600640424899e-01 6.173207187714813138e-02
9.443860094080883810e-03 7.161745960810561584e-01 1.367139542758736281e-01 1.471114496430702689e-01
1.015431262620940245e-02 6.204077547782749225e-01 1.184325692132688346e-01 2.611596760084562430e-01
9.262654793530387606e-03 5.083238167034860311e-01 9.703633641072711979e-02 3.946398468857868491e-01
7.235664029096571664e-03 3.890026747395678441e-01 7.425855954477156295e-02 5.367387657156605929e-01
4.754382900509210308e-03 2.721109858602498432e-01 5.194455246308499197e-02 6.759444616766651093e-01
2.494801199645867162e-03 1.671189521519139687e-01 3.190212681118725913e-02 8.009789210368988277e-01
9.222790730579375450e-04 8.253375378194349743e-02 1.575525842790964637e-02 9.017109877901468007e-01
1.642206307409059800e-04 2.521552196937970614e-02 4.813510192106740249e-03 9.699709678385135536e-01
4.052397889245803846e-03 7.081563709631049086e-01 2.799260156044794945e-01 1.191761343241559690e-02
8.655195594232955453e-03 6.724544633152437223e-01 2.658134648076081463e-01 6.173207187714813138e-02
1.160691699817807156e-02 6.112632598935967554e-01 2.416252904633329202e-01 1.471114496430702689e-01
1.248009422543598125e-02 5.295251587032198115e-01 2.093151652883239455e-01 2.611596760084562430e-01
1.138420776041228211e-02 4.338602276316445017e-01 1.714999254825686492e-01 3.946398468857868491e-01
8.892947478654943810e-03 3.320182597509011568e-01 1.312429745334382503e-01 5.367387657156605929e-01
5.843344475036743764e-03 2.322498580373709709e-01 9.180568028596391983e-02 6.759444616766651093e-01
3.066219762128197159e-03 1.426379489601712347e-01 5.638313000292993760e-02 8.009789210368988277e-01
1.133521308394809220e-03 7.044350869755844347e-02 2.784550351229475584e-02 9.017109877901468007e-01
2.018343358975454205e-04 2.152173819521685516e-02 8.507293966269591223e-03 9.699709678385135536e-01
4.447566886557331040e-03 5.675912493636130485e-01 4.204911372039713546e-01 1.191761343241559690e-02
9.499205747723764998e-03 5.389759728549030626e-01 3.992919552679488615e-01 6.173207187714813138e-02
