# Integration weights for the "1d Gauss, m=80" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
3.236357434782148119e-07 9.995566088577811925e-01 2.230395161806342230e-04 2.203516260382287761e-04
7.521819026693133319e-07 9.986165146840411122e-01 2.228297450203031715e-04 1.160655570938640135e-03
1.178539412755802259e-06 9.969266974176311802e-01 2.224526818082606106e-04 2.850849900560559202e-03
1.600529567825271788e-06 9.944893227175837236e-01 2.219088097863974873e-04 5.288768472629934436e-03
2.016533359318504374e-06 9.913080105411669063e-01 2.211989367063016410e-04 8.470790522126903088e-03
2.424998808387087267e-06 9.873875348680760666e-01 2.203241278264655989e-04 1.239214100409752328e-02
2.824418109711109522e-06 9.827337887913729642e-01 2.192856981225732582e-04 1.704692551050451810e-02
3.213330903079391321e-06 9.773537704837411688e-01 2.180852091560048223e-04 2.242814430710277085e-02
3.590330692462147223e-06 9.712555712968828914e-01 2.167244664185163927e-04 2.852770423669859223e-02
3.954071635083848312e-06 9.644483631339038077e-01 2.152055165143829107e-04 3.533643134958180942e-02
4.303275158973560865e-06 9.569423844758231379e-01 2.135306440423923036e-04 4.284408488013446981e-02
4.636736250104034283e-06 9.487489249041671791e-01 2.117023681423302328e-04 5.103937272769060174e-02
4.953329338018248464e-06 9.398803080830098189e-01 2.097234386975732612e-04 5.990996847829260785e-02
5.252013734608693886e-06 9.303498732039120478e-01 2.075968321946786155e-04 6.944252996389332910e-02
5.531838590852022536e-06 9.201719549120452868e-01 2.053257472441893938e-04 7.962271934071052382e-02
5.791947341775683202e-06 9.093618617395333725e-01 2.029135997682618431e-04 9.043522466069831012e-02
6.031581614009130585e-06 8.979358530763851265e-01 2.003640178621646228e-04 1.018637829057527089e-01
6.250084573896704162e-06 8.859111147126093044e-01 1.976808363363669052e-04 1.138912044510543287e-01
6.446903697663407449e-06 8.733057329877359498e-01 1.948680909487632285e-04 1.264993989213153425e-01
6.621592948644304600e-06 8.601386675863121889e-01 1.919300123340850206e-04 1.396694024013537261e-01
6.773814350151390214e-06 8.464297230201092148e-01 1.888710196404352892e-04 1.533814059602503499e-01
6.903338946154641186e-06 8.321995188398236820e-01 1.856957138824943954e-04 1.676147854462938236e-01
