# Integration weights for the "Fixed order k=10" formula over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
3.994725237061985679e-02 3.333333333333333148e-01 3.333333333333333148e-01 3.333333333333333148e-01
3.556190111618866972e-02 1.498275787958188443e-01 4.250862106020905640e-01 4.250862106020905640e-01
3.556190111618866972e-02 4.250862106020905640e-01 1.498275787958188443e-01 4.250862106020905640e-01
3.556190111618866972e-02 4.250862106020905640e-01 4.250862106020905640e-01 1.498275787958188443e-01
4.111909345232097647e-03 2.330886751000019186e-02 2.330886751000019186e-02 9.533822649799996718e-01
4.111909345232097647e-03 2.330886751000019186e-02 9.533822649799996718e-01 2.330886751000019186e-02
4.111909345232097647e-03 9.533822649799996718e-01 2.330886751000019186e-02 2.330886751000019186e-02
2.271529614808500894e-02 1.479256262095344499e-01 2.237669735769730051e-01 6.283074002134925173e-01
2.271529614808500894e-02 1.479256262095344499e-01 6.283074002134925173e-01 2.237669735769730051e-01
2.271529614808500894e-02 2.237669735769730051e-01 1.479256262095344499e-01 6.283074002134925173e-01
2.271529614808500894e-02 2.237669735769730051e-01 6.283074002134925173e-01 1.479256262095344499e-01
2.271529614808500894e-02 6.283074002134925173e-01 1.479256262095344499e-01 2.237669735769730051e-01
2.271529614808500894e-02 6.283074002134925173e-01 2.237669735769730051e-01 1.479256262095344499e-01
1.867992811715263671e-02 2.994603195417088609e-02 3.587401418644314832e-01 6.113138261813976237e-01
1.867992811715263671e-02 2.994603195417088609e-02 6.113138261813976237e-01 3.587401418644314832e-01
1.867992811715263671e-02 3.587401418644314832e-01 2.994603195417088609e-02 6.113138261813976237e-01
1.867992811715263671e-02 3.587401418644314832e-01 6.113138261813976237e-01 2.994603195417088609e-02
1.867992811715263671e-02 6.113138261813976237e-01 2.994603195417088609e-02 3.587401418644314832e-01
1.867992811715263671e-02 6.113138261813976237e-01 3.587401418644314832e-01 2.994603195417088609e-02
1.544332844228199497e-02 3.563255958750348451e-02 1.432953704268671580e-01 8.210720699856294269e-01
1.544332844228199497e-02 3.563255958750348451e-02 8.210720699856294269e-01 1.432953704268671580e-01
1.544332844228199497e-02 1.432953704268671580e-01 3.563255958750348451e-02 8.210720699856294269e-01
1.544332844228199497e-02 1.432953704268671580e-01 8.210720699856294269e-01 3.563255958750348451e-02
1.544332844228199497e-02 8.210720699856294269e-01 3.563255958750348451e-02 1.432953704268671580e-01
1.544332844228199497e-02 8.210720699856294269e-01 1.432953704268671580e-01 3.563255958750348451e-02
