# Integration weights for the "Symmetric family 1, k=20" formula over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
1.380521349884976032e-02 3.333333333333299842e-01 3.333333333333299842e-01 3.333333333333400872e-01
8.895147736633700168e-04 1.500649324429999959e-03 4.992496753377900220e-01 4.992496753377800300e-01
8.895147736633700168e-04 4.992496753377900220e-01 4.992496753377900220e-01 1.500649324420011421e-03
8.895147736633700168e-04 4.992496753377900220e-01 1.500649324429999959e-03 4.992496753377800300e-01
1.005619905698058522e-02 9.413975193894999483e-02 4.529301240305200205e-01 4.529301240305300125e-01
1.005619905698058522e-02 4.529301240305200205e-01 4.529301240305200205e-01 9.413975193895995908e-02
1.005619905698058522e-02 4.529301240305200205e-01 9.413975193894999483e-02 4.529301240305300125e-01
1.340892362966578447e-02 2.044721240895299996e-01 3.977639379552400101e-01 3.977639379552300181e-01
1.340892362966578447e-02 3.977639379552400101e-01 3.977639379552400101e-01 2.044721240895199799e-01
1.340892362966578447e-02 3.977639379552400101e-01 2.044721240895299996e-01 3.977639379552300181e-01
1.226156690075100482e-02 4.709995949344299992e-01 2.645002025327899964e-01 2.645002025327800044e-01
1.226156690075100482e-02 2.645002025327899964e-01 2.645002025327899964e-01 4.709995949344199517e-01
1.226156690075100482e-02 2.645002025327899964e-01 4.709995949344299992e-01 2.645002025327799489e-01
8.197289205347695409e-03 5.779620718158500203e-01 2.110189640920800136e-01 2.110189640920699661e-01
8.197289205347695409e-03 2.110189640920800136e-01 2.110189640920800136e-01 5.779620718158400283e-01
8.197289205347695409e-03 2.110189640920800136e-01 5.779620718158500203e-01 2.110189640920699938e-01
7.397953699324799973e-03 7.845287856574599816e-01 1.077356071712699953e-01 1.077356071712700231e-01
7.397953699324799973e-03 1.077356071712699953e-01 1.077356071712699953e-01 7.845287856574600927e-01
7.397953699324799973e-03 1.077356071712699953e-01 7.845287856574599816e-01 1.077356071712700647e-01
2.289641138852125356e-03 9.218618243243900112e-01 3.906908783779999839e-02 3.906908783780999039e-02
2.289641138852125356e-03 3.906908783779999839e-02 3.906908783779999839e-02 9.218618243244001143e-01
2.289641138852125356e-03 3.906908783779999839e-02 9.218618243243900112e-01 3.906908783781004590e-02
8.259132577881085190e-04 9.776512405413400053e-01 1.117437972933000082e-02 1.117437972932999388e-02
8.259132577881085190e-04 1.117437972933000082e-02 1.117437972933000082e-02 9.776512405413400053e-01
8.259132577881085190e-04 1.117437972933000082e-02 9.776512405413400053e-01 1.117437972932999735e-02
1.174585454287791972e-03 5.349618187339999845e-03 6.354966590834999762e-02 9.311007159043099835e-01
1.174585454287791972e-03 6.354966590834999762e-02 9.311007159043099835e-01 5.349618187340032804e-03
1.174585454287791972e-03 9.311007159043099835e-01 5.349618187339999845e-03 6.354966590835001150e-02
1.174585454287791972e-03 6.354966590834999762e-02 5.349618187339999845e-03 9.311007159043099835e-01
1.174585454287791972e-03 9.311007159043099835e-01 6.354966590834999762e-02 5.349618187340018927e-03
1.174585454287791972e-03 5.349618187339999845e-03 9.311007159043099835e-01 6.354966590834998375e-02
2.232962877090896667e-03 7.954817066199999787e-03 1.571069189407099942e-01 8.349382639930900130e-01
2.232962877090896667e-03 1.571069189407099942e-01 8.349382639930900130e-01 7.954817066200048359e-03
2.232962877090896667e-03 8.349382639930900130e-01 7.954817066199999787e-03 1.571069189407099942e-01
2.232962877090896667e-03 1.571069189407099942e-01 7.954817066199999787e-03 8.349382639930900130e-01
2.232962877090896667e-03 8.349382639930900130e-01 1.571069189407099942e-01 7.954817066199992848e-03
2.232962877090896667e-03 7.954817066199999787e-03 8.349382639930900130e-01 1.571069189407099387e-01
3.049783403953986068e-03 1.042239828126000079e-02 3.956421143643700233e-01 5.939354873543699620e-01
3.049783403953986068e-03 3.956421143643700233e-01 5.939354873543599700e-01 1.042239828127000667e-02
3.049783403953986068e-03 5.939354873543599700e-01 1.042239828126000079e-02 3.956421143643800153e-01
3.049783403953986068e-03 3.956421143643700233e-01 1.042239828126000079e-02 5.939354873543699620e-01
3.049783403953986068e-03 5.939354873543599700e-01 3.956421143643700233e-01 1.042239828127000667e-02
3.049783403953986068e-03 1.042239828126000079e-02 5.939354873543599700e-01 3.956421143643800153e-01
3.445540663594101518e-03 1.096441479612000024e-02 2.731675707129099795e-01 7.158680144909700394e-01
3.445540663594101518e-03 2.731675707129099795e-01 7.158680144909700394e-01 1.096441479611998115e-02
3.445540663594101518e-03 7.158680144909700394e-01 1.096441479612000024e-02 2.731675707129099795e-01
3.445540663594101518e-03 2.731675707129099795e-01 1.096441479612000024e-02 7.158680144909700394e-01
3.445540663594101518e-03 7.158680144909700394e-01 2.731675707129099795e-01 1.096441479611998115e-02
3.445540663594101518e-03 1.096441479612000024e-02 7.158680144909700394e-01 2.731675707129099795e-01
3.998737536239081389e-03 3.856671208546000318e-02 1.017853824850200040e-01 8.596479054295199651e-01
3.998737536239081389e-03 1.017853824850200040e-01 8.596479054295199651e-01 3.856671208546003093e-02
3.998737536239081389e-03 8.596479054295199651e-01 3.856671208546000318e-02 1.017853824850200317e-01
3.998737536239081389e-03 1.017853824850200040e-01 3.856671208546000318e-02 8.596479054295199651e-01
3.998737536239081389e-03 8.596479054295199651e-01 1.017853824850200040e-01 3.856671208546003093e-02
3.998737536239081389e-03 3.856671208546000318e-02 8.596479054295199651e-01 1.017853824850200040e-01
3.693067142668011917e-03 3.558050781721999734e-02 4.466585491764100135e-01 5.177609430063699891e-01
3.693067142668011917e-03 4.466585491764100135e-01 5.177609430063699891e-01 3.558050781721999734e-02
3.693067142668011917e-03 5.177609430063699891e-01 3.558050781721999734e-02 4.466585491764100135e-01
3.693067142668011917e-03 4.466585491764100135e-01 3.558050781721999734e-02 5.177609430063699891e-01
3.693067142668011917e-03 5.177609430063699891e-01 4.466585491764100135e-01 3.558050781721999734e-02
3.693067142668011917e-03 3.558050781721999734e-02 5.177609430063699891e-01 4.466585491764100135e-01
