# Integration weights for the "Symmetric family 2, k=20" formula (Table 2) over the reference triangle [(0, 0), (1, 0), (0, 1)].
# The integration point coordinates (x_i, y_i, z_i) are barycentric i.e. x_i + y_i + z_i = 1.
# For the reference triangle, \int f(r) dr is approximated by \sum_i w_i f((y_i, z_i))
# 
# w_i x_i y_i z_i
9.173462974252913002e-03 1.862949977445408911e-01 1.862949977445410854e-01 6.274100045109179957e-01
9.173462974252913002e-03 6.274100045109179957e-01 1.862949977445409189e-01 1.862949977445410854e-01
9.173462974252913002e-03 1.862949977445411132e-01 6.274100045109182178e-01 1.862949977445406136e-01
2.161275410665577327e-03 3.731088059888458541e-02 3.731088059888489766e-02 9.253782388022305794e-01
2.161275410665577327e-03 9.253782388022304684e-01 3.731088059888457847e-02 3.731088059888495317e-02
2.161275410665577327e-03 3.731088059888504338e-02 9.253782388022305794e-01 3.731088059888432173e-02
7.101825303408440711e-03 4.762456115404989920e-01 4.750877691900201594e-02 4.762456115404990475e-01
7.101825303408440711e-03 4.762456115404989920e-01 4.762456115404990475e-01 4.750877691900201594e-02
7.101825303408440711e-03 4.750877691900190491e-02 4.762456115404992696e-01 4.762456115404988255e-01
1.129869602125865369e-03 6.409058560843403085e-02 4.854937607623829865e-03 9.310544767839421532e-01
1.129869602125865369e-03 9.310544767839421532e-01 6.409058560843401697e-02 4.854937607623829865e-03
1.129869602125865369e-03 4.854937607623954765e-03 9.310544767839422642e-01 6.409058560843383656e-02
1.129869602125865369e-03 9.310544767839421532e-01 4.854937607623829865e-03 6.409058560843401697e-02
1.129869602125865369e-03 6.409058560843411412e-02 9.310544767839422642e-01 4.854937607623566187e-03
1.129869602125865369e-03 4.854937607623538431e-03 6.409058560843433616e-02 9.310544767839421532e-01
7.722607822099230093e-03 2.156070573900943643e-01 1.062272047202700992e-01 6.781657378896355226e-01
7.722607822099230093e-03 6.781657378896355226e-01 2.156070573900944476e-01 1.062272047202700298e-01
7.722607822099230093e-03 1.062272047202700853e-01 6.781657378896357447e-01 2.156070573900941145e-01
7.722607822099230093e-03 6.781657378896355226e-01 1.062272047202700992e-01 2.156070573900943921e-01
7.722607822099230093e-03 2.156070573900943366e-01 6.781657378896357447e-01 1.062272047202699188e-01
7.722607822099230093e-03 1.062272047202699327e-01 2.156070573900946419e-01 6.781657378896354116e-01
9.452399933232448134e-03 4.455510569559247847e-01 1.088978860881504168e-01 4.455510569559247847e-01
9.452399933232448134e-03 4.455510569559247847e-01 4.455510569559248957e-01 1.088978860881503197e-01
9.452399933232448134e-03 1.088978860881503197e-01 4.455510569559250067e-01 4.455510569559246736e-01
2.202897418558497425e-03 1.591337076570672193e-01 7.570780504696581446e-03 8.332955118382361359e-01
2.202897418558497425e-03 8.332955118382362469e-01 1.591337076570672193e-01 7.570780504696533741e-03
2.202897418558497425e-03 7.570780504696561497e-03 8.332955118382364690e-01 1.591337076570670250e-01
2.202897418558497425e-03 8.332955118382362469e-01 7.570780504696581446e-03 1.591337076570671638e-01
2.202897418558497425e-03 1.591337076570672471e-01 8.332955118382363580e-01 7.570780504696394964e-03
2.202897418558497425e-03 7.570780504696353330e-03 1.591337076570675524e-01 8.332955118382360249e-01
1.169174573182773548e-02 3.178601238357719461e-01 1.398080719917999815e-01 5.423318041724281002e-01
1.169174573182773548e-02 5.423318041724279892e-01 3.178601238357720571e-01 1.398080719917999537e-01
1.169174573182773548e-02 1.398080719917999537e-01 5.423318041724282113e-01 3.178601238357717795e-01
1.169174573182773548e-02 5.423318041724279892e-01 1.398080719917999815e-01 3.178601238357720016e-01
1.169174573182773548e-02 3.178601238357719461e-01 5.423318041724282113e-01 1.398080719917998982e-01
1.169174573182773548e-02 1.398080719917998704e-01 3.178601238357721681e-01 5.423318041724278782e-01
1.408320130752024717e-02 2.545792676733390492e-01 2.545792676733392157e-01 4.908414646533217351e-01
1.408320130752024717e-02 4.908414646533216796e-01 2.545792676733391602e-01 2.545792676733391602e-01
1.408320130752024717e-02 2.545792676733391602e-01 4.908414646533218462e-01 2.545792676733389936e-01
1.391011070145311418e-02 3.333333333333332593e-01 3.333333333333334259e-01 3.333333333333333148e-01
5.986398578954690158e-03 1.985181322287881689e-01 4.656036490766435332e-02 7.549215028635475333e-01
5.986398578954690158e-03 7.549215028635475333e-01 1.985181322287881689e-01 4.656036490766429781e-02
5.986398578954690158e-03 4.656036490766440883e-02 7.549215028635476443e-01 1.985181322287878913e-01
5.986398578954690158e-03 7.549215028635474223e-01 4.656036490766435332e-02 1.985181322287882244e-01
5.986398578954690158e-03 1.985181322287882244e-01 7.549215028635476443e-01 4.656036490766413127e-02
5.986398578954690158e-03 4.656036490766417291e-02 1.985181322287884742e-01 7.549215028635474223e-01
1.378805062907045680e-02 3.934253478170998131e-01 2.131493043658003461e-01 3.934253478170998131e-01
1.378805062907045680e-02 3.934253478170998131e-01 3.934253478170999796e-01 2.131493043658002073e-01
1.378805062907045680e-02 2.131493043658002073e-01 3.934253478171000351e-01 3.934253478170998131e-01
4.145711527613857826e-03 9.995229628813862011e-02 3.836368477537467625e-02 8.616840189364867175e-01
4.145711527613857826e-03 8.616840189364867175e-01 9.995229628813857847e-02 3.836368477537470401e-02
4.145711527613857826e-03 3.836368477537482891e-02 8.616840189364868285e-01 9.995229628813839806e-02
4.145711527613857826e-03 8.616840189364866065e-01 3.836368477537467625e-02 9.995229628813871725e-02
4.145711527613857826e-03 9.995229628813867562e-02 8.616840189364868285e-01 3.836368477537444033e-02
4.145711527613857826e-03 3.836368477537439176e-02 9.995229628813893930e-02 8.616840189364866065e-01
3.695681500255297829e-03 4.200237588162240576e-01 9.831548292802591918e-03 5.701446928909732481e-01
3.695681500255297829e-03 5.701446928909733591e-01 4.200237588162241131e-01 9.831548292802527733e-03
3.695681500255297829e-03 9.831548292802527733e-03 5.701446928909735812e-01 4.200237588162238911e-01
3.695681500255297829e-03 5.701446928909733591e-01 9.831548292802591918e-03 4.200237588162240576e-01
3.695681500255297829e-03 4.200237588162241131e-01 5.701446928909734702e-01 9.831548292802416711e-03
3.695681500255297829e-03 9.831548292802472222e-03 4.200237588162243352e-01 5.701446928909732481e-01
8.667225567219332891e-03 3.331348173095874388e-01 5.498747914298687117e-02 6.118777035474257664e-01
8.667225567219332891e-03 6.118777035474256554e-01 3.331348173095874943e-01 5.498747914298685036e-02
8.667225567219332891e-03 5.498747914298685036e-02 6.118777035474258774e-01 3.331348173095872722e-01
8.667225567219332891e-03 6.118777035474256554e-01 5.498747914298687117e-02 3.331348173095874943e-01
8.667225567219332891e-03 3.331348173095874388e-01 6.118777035474257664e-01 5.498747914298685036e-02
8.667225567219332891e-03 5.498747914298673933e-02 3.331348173095877163e-01 6.118777035474255444e-01
3.578200238457685152e-03 2.805814114236652168e-01 1.073721285601111561e-02 7.086813757203236364e-01
3.578200238457685152e-03 7.086813757203236364e-01 2.805814114236652723e-01 1.073721285601109132e-02
3.578200238457685152e-03 1.073721285601114683e-02 7.086813757203238584e-01 2.805814114236649948e-01
3.578200238457685152e-03 7.086813757203237474e-01 1.073721285601111561e-02 2.805814114236651613e-01
3.578200238457685152e-03 2.805814114236652723e-01 7.086813757203237474e-01 1.073721285601092479e-02
